turn,faction_id,name,strength,territories,economy,morale,is_active,survived
3,gongsunkang,公孙康,5000,1,50,69,1,1
3,kebineng,轲比能,5000,1,50,74,1,1
3,menghuo,孟获,4000,1,50,79,1,1
3,huangzu,黄祖,3600,1,50,59,1,1
3,shu,刘备,3000,1,50,99,1,1
3,zhangxiu,张绣,3000,1,50,56,1,1
3,liudu,刘度,3000,1,50,55,1,1
3,zhaofan,赵范,3000,1,50,50,1,1
3,jinxuan,金旋,3000,1,50,50,1,1
3,hanxuan,韩玄,3000,1,50,52,1,1
3,kongrong,孔融,3000,1,50,75,1,1
3,baoxin,鲍信,3000,1,50,59,1,1
3,shixie,士燮,3000,1,50,74,1,1
3,budugen,步度根,3000,1,50,67,1,1
3,liuyao,刘繇,3000,1,50,41,1,1
3,chengui,陈珪,3000,1,50,50,1,1
3,lifu,李傕残部,3000,1,50,23,1,1
3,guosi,郭汜残部,3000,1,50,18,1,1
3,taoqian,陶谦残部,3000,1,50,36,1,1
3,yuanshu,袁术残部,3000,1,50,29,1,1
3,liubei_old,刘岱,2437,1,50,41,1,1
3,zhangyang,张扬,1025,1,50,56,1,1
3,hansui,韩遂,0,0,50,63,0,0
3,wangkuang,王匡,0,0,50,40,0,0
3,yanbaihu,严白虎,0,0,50,30,0,0
4,cao,曹操,46000,4,50,83,1,1
4,liubiao,刘表,25000,3,50,79,1,1
4,wu,孙权,19300,2,50,88,1,1
4,liuzhang,刘璋,18000,2,50,61,1,1
4,mateng,马腾,9180,2,50,75,1,1
4,gongsunkang,公孙康,5500,1,50,73,1,1
4,zhanglu,张鲁,5100,1,50,91,1,1
4,kebineng,轲比能,5000,1,50,76,1,1
4,menghuo,孟获,4000,1,50,81,1,1
4,huangzu,黄祖,3600,1,50,60,1,1
4,shu,刘备,3000,1,50,100,1,1
4,liudu,刘度,3000,1,50,57,1,1
4,zhaofan,赵范,3000,1,50,52,1,1
4,jinxuan,金旋,3000,1,50,52,1,1
4,hanxuan,韩玄,3000,1,50,53,1,1
4,kongrong,孔融,3000,1,50,77,1,1
4,baoxin,鲍信,3000,1,50,61,1,1
4,shixie,士燮,3000,1,50,76,1,1
4,budugen,步度根,3000,1,50,69,1,1
4,liuyao,刘繇,3000,1,50,43,1,1
4,chengui,陈珪,3000,1,50,52,1,1
4,lifu,李傕残部,3000,1,50,25,1,1
4,guosi,郭汜残部,3000,1,50,20,1,1
4,taoqian,陶谦残部,3000,1,50,38,1,1
4,yuanshu,袁术残部,3000,1,50,31,1,1
4,liubei_old,刘岱,2316,1,50,43,1,1
4,zhangyang,张扬,763,1,50,57,1,1
4,hansui,韩遂,0,0,50,63,0,0
4,zhangxiu,张绣,0,0,50,57,0,0
4,wangkuang,王匡,0,0,50,40,0,0
4,yanbaihu,严白虎,0,0,50,30,0,0
5,cao,曹操,43850,5,50,84,1,1
5,liubiao,刘表,25000,3,50,83,1,1
5,wu,孙权,19300,2,50,88,1,1
5,liuzhang,刘璋,18000,2,50,63,1,1
5,mateng,马腾,8262,3,50,76,1,1
5,gongsunkang,公孙康,5500,1,50,75,1,1
5,zhanglu,张鲁,5100,1,50,93,1,1
5,kebineng,轲比能,5000,1,50,78,1,1
5,menghuo,孟获,4000,1,50,83,1,1
5,huangzu,黄祖,3600,1,50,61,1,1
5,liudu,刘度,3000,1,50,59,1,1
5,zhaofan,赵范,3000,1,50,54,1,1
5,jinxuan,金旋,3000,1,50,54,1,1
5,hanxuan,韩玄,3000,1,50,54,1,1
5,kongrong,孔融,3000,1,50,79,1,1
5,baoxin,鲍信,3000,1,50,63,1,1
5,shixie,士燮,3000,1,50,78,1,1
5,budugen,步度根,3000,1,50,71,1,1
5,liuyao,刘繇,3000,1,50,45,1,1
5,chengui,陈珪,3000,1,50,54,1,1
5,lifu,李傕残部,3000,1,50,29,1,1
5,taoqian,陶谦残部,3000,1,50,40,1,1
5,yuanshu,袁术残部,3000,1,50,33,1,1
5,liubei_old,刘岱,2201,1,50,47,1,1
5,zhangyang,张扬,632,1,50,58,1,1
5,shu,刘备,0,0,50,100,0,0
5,hansui,韩遂,0,0,50,63,0,0
5,zhangxiu,张绣,0,0,50,57,0,0
5,wangkuang,王匡,0,0,50,40,0,0
5,yanbaihu,严白虎,0,0,50,30,0,0
5,guosi,郭汜残部,0,0,50,24,0,0
