turn,year,season,active_factions,total_strength,max_strength,max_faction,min_strength,min_faction,median_strength,gini_strength,casualties,battles,diplomacy_events
33,216,winter,7,44270,10871,cao,500,liubei_old,7902,0.3719,0,0,0
34,217,spring,7,43738,10694,cao,500,liubei_old,9171,0.3564,0,0,0
35,217,summer,7,46948,14044,cao,500,liubei_old,8828,0.4,0,0,0
36,217,autumn,7,45300,13592,cao,500,liubei_old,7964,0.4039,0,0,0
37,217,winter,7,43778,13163,cao,500,liubei_old,7186,0.4075,0,0,0
38,218,spring,7,37801,12755,cao,500,liubei_old,3000,0.4685,0,0,0
39,218,summer,7,37141,11881,cao,500,liubei_old,3000,0.4507,0,0,0
40,218,autumn,7,39057,11855,cao,500,liubei_old,3000,0.4328,0,0,0
41,218,winter,6,39046,11739,cao,1218,liubei_old,6546.5,0.3409,0,0,0
42,219,spring,6,39486,11629,cao,1158,liubei_old,6498.0,0.3445,0,0,0
43,219,summer,5,39617,11525,cao,3000,liudu,9487,0.2195,0,0,0
44,219,autumn,5,38929,11426,cao,3000,liudu,9399,0.2162,0,0,0
45,219,winter,5,44417,14195,cao,3000,liudu,9315,0.2445,0,0,0
46,220,spring,5,43841,13787,cao,3000,liudu,9236,0.2394,0,0,0
47,220,summer,5,44980,13419,cao,3000,liudu,9161,0.2112,0,0,0
48,220,autumn,5,44495,13087,cao,3000,liudu,9089,0.2068,0,0,0
49,220,winter,5,45417,12787,cao,3000,liudu,9609,0.1898,0,0,0
50,221,spring,5,45008,12516,cao,3000,liudu,9609,0.1867,0,0,0
51,221,summer,5,46222,12272,cao,3000,liudu,10858,0.1804,0,0,0
52,221,autumn,5,45878,12052,cao,3000,liudu,10792,0.1784,0,0,0
53,221,winter,5,45562,11853,cao,3000,liudu,10730,0.1766,0,0,0
54,222,spring,5,45270,11673,cao,3000,liudu,10671,0.1751,0,0,0
55,222,summer,5,45002,11511,cao,3000,liudu,10615,0.1737,0,0,0
56,222,autumn,5,44754,11365,cao,3000,liudu,10561,0.1725,0,0,0
57,222,winter,5,44526,11233,cao,3000,liudu,10510,0.1714,0,0,0
58,223,spring,5,44316,11197,cao,3000,liudu,10462,0.1712,0,0,0
59,223,summer,5,44122,11197,cao,3000,liudu,10416,0.1713,0,0,0
60,223,autumn,5,45393,11197,cao,3000,liudu,10372,0.1532,0,0,0
61,223,winter,5,45227,11197,cao,3000,liudu,10331,0.1534,0,0,0
62,224,spring,5,45073,11197,cao,3000,liudu,10292,0.1535,0,0,0
63,224,summer,5,46210,11197,cao,3000,liudu,10670,0.1491,0,0,0
64,224,autumn,5,46078,11197,cao,3000,liudu,10606,0.1496,0,0,0
65,224,winter,5,45956,11197,cao,3000,liudu,10548,0.15,0,0,0
66,225,spring,5,45843,11197,cao,3000,liudu,10495,0.1504,0,0,0
67,225,summer,5,45738,11197,cao,3000,liudu,10448,0.1508,0,0,0
68,225,autumn,5,45640,11197,cao,3000,liudu,10405,0.1511,0,0,0
69,225,winter,5,45549,11197,cao,3000,liudu,10366,0.1515,0,0,0
70,226,spring,5,45465,11197,cao,3000,liudu,10331,0.1518,0,0,0
71,226,summer,5,45387,11197,cao,3000,liudu,10300,0.1521,0,0,0
72,226,autumn,5,45313,11197,cao,3000,liudu,10271,0.1524,0,0,0
73,226,winter,5,50246,14968,cao,3000,liudu,10835,0.1981,0,0,0
74,227,spring,5,50183,14947,cao,3000,liudu,10816,0.1982,0,0,0
75,227,summer,5,50124,14927,cao,3000,liudu,10798,0.1983,0,0,0
76,227,autumn,5,50069,14908,cao,3000,liudu,10781,0.1984,0,0,0
77,227,winter,5,50018,14890,cao,3000,liudu,10765,0.1984,0,0,0
78,228,spring,5,49971,14873,cao,3000,liudu,10750,0.1985,0,0,0
79,228,summer,5,49925,14856,cao,3000,liudu,10735,0.1985,0,0,0
80,228,autumn,5,49883,14840,cao,3000,liudu,10721,0.1985,0,0,0
81,228,winter,5,49844,14825,cao,3000,liudu,10708,0.1985,0,0,0
82,229,spring,5,49807,14811,cao,3000,liudu,10695,0.1985,0,0,0
83,229,summer,5,49773,14798,cao,3000,liudu,10683,0.1985,0,0,0
84,229,autumn,5,49741,14785,cao,3000,liudu,10672,0.1985,0,0,0
85,229,winter,5,49710,14773,cao,3000,liudu,10661,0.1985,0,0,0
86,230,spring,5,49682,14761,cao,3000,liudu,10651,0.1984,0,0,0
87,230,summer,5,49655,14750,cao,3000,liudu,10641,0.1984,0,0,0
88,230,autumn,5,49630,14740,cao,3000,liudu,10632,0.1984,0,0,0
89,230,winter,5,49606,14730,cao,3000,liudu,10623,0.1984,0,0,0
90,231,spring,5,49585,14721,cao,3000,liudu,10615,0.1983,0,0,0
91,231,summer,5,49564,14712,cao,3000,liudu,10607,0.1983,0,0,0
92,231,autumn,5,49545,14704,cao,3000,liudu,10600,0.1983,0,0,0
93,231,winter,5,49526,14696,cao,3000,liudu,10593,0.1983,0,0,0
94,232,spring,5,49508,14688,cao,3000,liudu,10586,0.1982,0,0,0
95,232,summer,5,49493,14681,cao,3000,liudu,10580,0.1982,0,0,0
96,232,autumn,5,49478,14674,cao,3000,liudu,10574,0.1982,0,0,0
97,232,winter,5,49463,14667,cao,3000,liudu,10568,0.1981,0,0,0
98,233,spring,5,49449,14661,cao,3000,liudu,10562,0.1981,0,0,0
99,233,summer,5,49436,14655,cao,3000,liudu,10557,0.1981,0,0,0
100,233,autumn,5,49423,14649,cao,3000,liudu,10552,0.198,0,0,0
